Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2020,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,420.0,620.0,4200.0,10.0,PERMANENTE
2023,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,760.0,905.0,8360.0,11.0,PERMANENTE
2022,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,687.5,900.0,7562.5,11.0,PERMANENTE
2021,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,524.82,760.0,5773.06,11.0,PERMANENTE
2024,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,900.0,925.0,9900.0,11.0,PERMANENTE
2024,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,95.08,237.98,570.48,6.0,PERMANENTE
2023,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,95.08,237.98,570.48,6.0,PERMANENTE
2022,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,98.08,202.28,490.4,5.0,PERMANENTE
2021,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,20.08,104.08,60.24,3.0,PERMANENTE
2020,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,95.5,99.08,1337.0,14.0,PERMANENTE
2023,ANTIOQUIA,SANTUARIO,AGUACATE HASS,51.64,51.64,516.4,10.0,PERMANENTE
2022,ANTIOQUIA,SANTUARIO,AGUACATE HASS,8.64,56.64,51.84,6.0,PERMANENTE
2021,ANTIOQUIA,SANTUARIO,AGUACATE HASS,54.64,54.64,327.84,6.0,PERMANENTE
2020,ANTIOQUIA,SANTUARIO,AGUACATE HASS,50.64,54.64,303.84,6.0,PERMANENTE
2024,ANTIOQUIA,SANTUARIO,AGUACATE HASS,36.64,36.64,366.4,10.0,PERMANENTE
2023,ANTIOQUIA,SONSON,AGUACATE HASS,3150.0,4650.0,44100.0,14.0,PERMANENTE
2022,ANTIOQUIA,SONSON,AGUACATE HASS,3200.0,4450.0,44800.0,14.0,PERMANENTE
2021,ANTIOQUIA,SONSON,AGUACATE HASS,3000.0,4200.0,42000.0,14.0,PERMANENTE
2020,ANTIOQUIA,SONSON,AGUACATE HASS,2800.0,3800.0,39200.0,14.0,PERMANENTE
2024,ANTIOQUIA,SONSON,AGUACATE HASS,3550.0,4750.0,49700.0,14.0,PERMANENTE
2021,ANTIOQUIA,SOPETRAN,AGUACATE HASS,24.0,29.0,108.0,4.5,PERMANENTE
2020,ANTIOQUIA,SOPETRAN,AGUACATE HASS,22.0,25.0,99.0,4.5,PERMANENTE
2024,ANTIOQUIA,SOPETRAN,AGUACATE HASS,29.0,54.0,130.5,4.5,PERMANENTE
2023,ANTIOQUIA,SOPETRAN,AGUACATE HASS,29.0,54.0,130.5,4.5,PERMANENTE
