Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2023,ANTIOQUIA,MEDELLIN,AGUACATE HASS,"11,00","11,00","77,00","7,00",PERMANENTE
2024,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,"95,00","186,00","855,00","9,00",PERMANENTE
2023,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,"95,00","186,00","855,00","9,00",PERMANENTE
2022,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,"95,00","101,00","760,00","8,00",PERMANENTE
2021,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,"87,00","95,00","696,00","8,00",PERMANENTE
2020,ANTIOQUIA,MONTEBELLO,AGUACATE HASS,"86,00","88,00","688,00","8,00",PERMANENTE
2024,ANTIOQUIA,NARIÑO,AGUACATE HASS,"27,00","32,00","540,00","20,00",PERMANENTE
2022,ANTIOQUIA,NARIÑO,AGUACATE HASS,"26,00","29,00","208,00","8,00",PERMANENTE
2021,ANTIOQUIA,NARIÑO,AGUACATE HASS,"19,00","26,00","134,90","7,10",PERMANENTE
2020,ANTIOQUIA,NARIÑO,AGUACATE HASS,"4,00","19,00","28,00","7,00",PERMANENTE
2023,ANTIOQUIA,NARIÑO,AGUACATE HASS,"26,00","29,00","520,00","20,00",PERMANENTE
2023,ANTIOQUIA,PEÑOL,AGUACATE HASS,"484,31","491,31","5.811,72","12,00",PERMANENTE
2022,ANTIOQUIA,PEÑOL,AGUACATE HASS,"505,31","510,31","6.063,72","12,00",PERMANENTE
2021,ANTIOQUIA,PEÑOL,AGUACATE HASS,"482,31","507,31","5.787,72","12,00",PERMANENTE
2020,ANTIOQUIA,PEÑOL,AGUACATE HASS,"487,31","502,31","5.847,72","12,00",PERMANENTE
2024,ANTIOQUIA,PEÑOL,AGUACATE HASS,"489,31","493,31","5.871,72","12,00",PERMANENTE
2022,ANTIOQUIA,RETIRO,AGUACATE HASS,"614,00","624,80","12.280,00","20,00",PERMANENTE
2021,ANTIOQUIA,RETIRO,AGUACATE HASS,"259,17","261,17","4.665,06","18,00",PERMANENTE
2024,ANTIOQUIA,RETIRO,AGUACATE HASS,"624,80","627,30","13.745,60","22,00",PERMANENTE
2023,ANTIOQUIA,RETIRO,AGUACATE HASS,"614,80","624,80","13.525,60","22,00",PERMANENTE
2020,ANTIOQUIA,RETIRO,AGUACATE HASS,"229,17","259,17","4.125,06","18,00",PERMANENTE
2020,ANTIOQUIA,RIONEGRO,AGUACATE HASS,"101,43","161,56","1.014,30","10,00",PERMANENTE
2022,ANTIOQUIA,RIONEGRO,AGUACATE HASS,"39,00","39,00","468,00","12,00",PERMANENTE
2021,ANTIOQUIA,RIONEGRO,AGUACATE HASS,"34,00","39,00","340,00","10,00",PERMANENTE
2024,ANTIOQUIA,RIONEGRO,AGUACATE HASS,"42,00","45,00","529,20","12,60",PERMANENTE
2023,ANTIOQUIA,RIONEGRO,AGUACATE HASS,"39,00","42,00","491,40","12,60",PERMANENTE
2024,ANTIOQUIA,SABANALARGA,AGUACATE HASS,"9,00","9,00","45,00","5,00",PERMANENTE
2023,ANTIOQUIA,SABANALARGA,AGUACATE HASS,"9,00","9,00","45,00","5,00",PERMANENTE
2022,ANTIOQUIA,SABANALARGA,AGUACATE HASS,"9,00","9,00","45,00","5,00",PERMANENTE
2021,ANTIOQUIA,SABANALARGA,AGUACATE HASS,"7,00","9,00","49,00","7,00",PERMANENTE
2022,ANTIOQUIA,SALGAR,AGUACATE HASS,"133,90","166,90","2.008,50","15,00",PERMANENTE
2021,ANTIOQUIA,SALGAR,AGUACATE HASS,"143,90","212,90","1.870,70","13,00",PERMANENTE
2024,ANTIOQUIA,SALGAR,AGUACATE HASS,"90,90","96,90","1.363,50","15,00",PERMANENTE
2023,ANTIOQUIA,SALGAR,AGUACATE HASS,"67,90","107,90","1.018,50","15,00",PERMANENTE
2020,ANTIOQUIA,SALGAR,AGUACATE HASS,"129,90","189,90","1.688,70","13,00",PERMANENTE
2023,ANTIOQUIA,SAN JERONIMO,AGUACATE HASS,"0,00","6,00","0,00","0,00",PERMANENTE
2024,ANTIOQUIA,SAN JERONIMO,AGUACATE HASS,"0,00","6,00","0,00","0,00",PERMANENTE
2020,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,"95,00","135,50","1.140,00","12,00",PERMANENTE
2024,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,"146,80","156,30","1.174,40","8,00",PERMANENTE
2023,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,"147,00","150,00","1.176,00","8,00",PERMANENTE
2022,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,"98,00","151,50","637,00","6,50",PERMANENTE
2021,ANTIOQUIA,SAN PEDRO,AGUACATE HASS,"120,50","155,50","1.446,00","12,00",PERMANENTE
2020,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,"420,00","620,00","4.200,00","10,00",PERMANENTE
2023,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,"760,00","905,00","8.360,00","11,00",PERMANENTE
2022,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,"687,50","900,00","7.562,50","11,00",PERMANENTE
2021,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,"524,82","760,00","5.773,06","11,00",PERMANENTE
2024,ANTIOQUIA,SAN VICENTE,AGUACATE HASS,"900,00","925,00","9.900,00","11,00",PERMANENTE
2024,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,"95,08","237,98","570,48","6,00",PERMANENTE
2023,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,"95,08","237,98","570,48","6,00",PERMANENTE
2022,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,"98,08","202,28","490,40","5,00",PERMANENTE
2021,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,"20,08","104,08","60,24","3,00",PERMANENTE
2020,ANTIOQUIA,SANTA ROSA DE OSOS,AGUACATE HASS,"95,50","99,08","1.337,00","14,00",PERMANENTE
2023,ANTIOQUIA,SANTUARIO,AGUACATE HASS,"51,64","51,64","516,40","10,00",PERMANENTE
